chart_name,HHI,CR3,Gini
C̫te d'Ivoire Apple Music Top Song,0.08784999999999998,0.4025,0.6004794520547945
China Apple Music Top Song,0.07857499999999998,0.375,0.5561688311688312
Israel Apple Music Top Song,0.062349999999999996,0.3275,0.5867543859649123
Benin Apple Music Top Song,0.05868749999999999,0.35,0.5767032967032966
Burkina Faso Apple Music Top Song,0.05255000000000001,0.32,0.39985074626865674
Iceland Apple Music Top Song,0.049325,0.2625,0.6280405405405405
Senegal Apple Music Top Song,0.04856249999999999,0.2825,0.49724999999999986
Montserrat Apple Music Top Song,0.04819999999999996,0.29,0.4313592233009709
Japan Apple Music Top Song,0.0477375,0.3075,0.5596268656716419
Seychelles Apple Music Top Song,0.04516250000000001,0.305,0.5553409090909089
Egypt Apple Music Top Song,0.042287500000000006,0.26,0.5515277777777777
Venezuela Apple Music Top Song,0.03788749999999999,0.2775,0.4343902439024387
Ghana Apple Music Top Song,0.034825,0.265,0.4886702127659576
Argentina Apple Music Top Song,0.034800000000000005,0.235,0.3814453125
Barbados Apple Music Top Song,0.033137499999999986,0.2425,0.47639784946236563
Paraguay Apple Music Top Song,0.032674999999999996,0.2375,0.38274809160305323
Maldives Apple Music Top Song,0.0317,0.2525,0.5040942028985506
Mali Apple Music Top Song,0.031050000000000005,0.2425,0.5202970297029702
Hong Kong Apple Music Top Song,0.031037500000000003,0.21,0.49660714285714297
Nepal Apple Music Top Song,0.030287500000000002,0.21500000000000002,0.48348275862068957
Jamaica Apple Music Top Song,0.03016250000000001,0.2,0.5129032258064515
Angola Apple Music Top Song,0.030037500000000005,0.225,0.47636
Myanmar Apple Music Top Song,0.029525,0.2225,0.4891923076923076
Nicaragua Apple Music Top Song,0.029275000000000006,0.24,0.3908778625954197
Peru Apple Music Top Song,0.02885000000000001,0.20500000000000002,0.41104347826086945
The Bahamas Apple Music Top Song,0.0281625,0.2175,0.4842934782608695
Macau Apple Music Top Song,0.027575000000000002,0.20750000000000002,0.46722222222222226
El Salvador Apple Music Top Song,0.02750000000000001,0.23,0.38947999999999994
Ecuador Apple Music Top Song,0.027437500000000004,0.215,0.3919262295081968
Honduras Apple Music Top Song,0.02722500000000001,0.225,0.40376
Mexico Apple Music Top Song,0.02697500000000001,0.2125,0.4171428571428571
Antigua and Barbuda Apple Music Top Song,0.026825,0.175,0.5093157894736843
